Session_ID,Date,Start_Time,Charging_Station,Vehicle_Type,Purpose,User_Age,User_Gender,Energy_Consumed_kWh,Charging_Duration_Min,Charging_Cost_INR,Payment_Method,Day_of_Week,Hour,Peak_Hour,Energy_per_Min_kWh,Cost_per_kWh_INR,User_Age_Group,Charging_Duration_Group,Session_Month
163,04-02-2026,15:00,LB Nagar EV Station,Bike,Delivery,42,Other,7.41,35,119.78,Wallet,Wednesday,15,No,0.212,16.16,36-50,Short (45 min),February
164,11-02-2026,13:00,Hitech City EV,Car,Ride Sharing,21,Female,34.85,95,475.53,Card,Wednesday,13,No,0.367,13.65,18-25,Long (>90 min),February
165,05-02-2026,10:00,Uppal EV Hub,Car,Office Commute,21,Male,18.33,122,293.63,Cash,Thursday,10,No,0.15,16.02,18-25,Long (>90 min),February
166,27-01-2026,15:00,Secunderabad Central,Scooter,Personal,20,Male,14.26,28,203.55,Card,Tuesday,15,No,0.509,14.27,18-25,Short (45 min),January
167,22-03-2026,22:00,LB Nagar EV Station,Scooter,Personal,53,Other,9.34,72,154.35,Wallet,Sunday,22,No,0.13,16.53,51+,Medium (46-90 min),March
168,21-03-2026,13:00,Hitech City EV,Scooter,Office Commute,29,Other,18.61,60,266.09,Wallet,Saturday,13,No,0.31,14.3,26-35,Medium (46-90 min),March
169,05-01-2026,16:00,LB Nagar EV Station,Car,Personal,23,Male,20.04,117,344.46,UPI,Monday,16,No,0.171,17.19,18-25,Long (>90 min),January
170,16-01-2026,14:00,Hitech City EV,Scooter,Office Commute,19,Male,4.2,50,56.41,UPI,Friday,14,No,0.084,13.43,18-25,Medium (46-90 min),January
171,16-03-2026,18:00,Ameerpet Charge Point,Scooter,Personal,52,Female,20.91,68,321.93,Cash,Monday,18,Yes,0.308,15.4,51+,Medium (46-90 min),March
172,12-01-2026,20:00,Secunderabad Central,Scooter,Delivery,47,Female,18.53,35,245.95,Card,Monday,20,Yes,0.529,13.27,36-50,Short (45 min),January
173,14-03-2026,12:00,Secunderabad Central,Scooter,Office Commute,37,Male,5.92,94,91.5,UPI,Saturday,12,No,0.063,15.46,36-50,Long (>90 min),March
174,23-02-2026,12:00,LB Nagar EV Station,Bike,Ride Sharing,20,Female,5.64,86,90.3,Card,Monday,12,No,0.066,16.01,18-25,Medium (46-90 min),February
175,08-01-2026,14:00,Kukatpally Charge Hub,Bike,Personal,49,Male,7.42,69,130.7,Cash,Thursday,14,No,0.108,17.61,36-50,Medium (46-90 min),January
176,18-01-2026,12:00,Secunderabad Central,Car,Personal,40,Male,12.01,41,200.4,Card,Sunday,12,No,0.293,16.69,36-50,Short (45 min),January
177,30-03-2026,09:00,Uppal EV Hub,Car,Personal,26,Male,13.91,47,192.19,Wallet,Monday,9,No,0.296,13.82,26-35,Medium (46-90 min),March
178,07-01-2026,16:00,Uppal EV Hub,Scooter,Office Commute,46,Female,12.68,64,184.56,Wallet,Wednesday,16,No,0.198,14.56,36-50,Medium (46-90 min),January
179,04-03-2026,13:00,Hitech City EV,Scooter,Personal,24,Female,9.99,82,120.51,Card,Wednesday,13,No,0.122,12.06,18-25,Medium (46-90 min),March
180,03-03-2026,14:00,Ameerpet Charge Point,Scooter,Delivery,22,Male,7.94,25,106.72,UPI,Tuesday,14,No,0.318,13.44,18-25,Short (45 min),March
181,22-02-2026,17:00,Secunderabad Central,Car,Office Commute,28,Male,28.1,123,353.73,Card,Sunday,17,Yes,0.228,12.59,26-35,Long (>90 min),February
182,09-03-2026,18:00,Secunderabad Central,Scooter,Office Commute,46,Male,15.38,83,266.92,UPI,Monday,18,Yes,0.185,17.36,36-50,Medium (46-90 min),March
183,05-03-2026,17:00,Hitech City EV,Scooter,Office Commute,50,Female,16.07,27,279.87,UPI,Thursday,17,Yes,0.595,17.42,36-50,Short (45 min),March
184,28-01-2026,15:00,Uppal EV Hub,Bike,Personal,40,Male,20.01,36,328.61,UPI,Wednesday,15,No,0.556,16.42,36-50,Short (45 min),January
185,28-03-2026,16:00,Secunderabad Central,Scooter,Delivery,41,Male,4.61,27,69.4,Cash,Saturday,16,No,0.171,15.05,36-50,Short (45 min),March
186,27-02-2026,14:00,Secunderabad Central,Car,Delivery,45,Male,44.03,78,673.63,Card,Friday,14,No,0.564,15.3,36-50,Medium (46-90 min),February
187,08-01-2026,12:00,Hitech City EV,Scooter,Ride Sharing,25,Female,4.56,71,65.19,Card,Thursday,12,No,0.064,14.3,18-25,Medium (46-90 min),January
188,08-03-2026,10:00,Uppal EV Hub,Bike,Business,27,Female,17.72,46,316.8,Card,Sunday,10,No,0.385,17.88,26-35,Medium (46-90 min),March
189,13-01-2026,15:00,Hitech City EV,Car,Office Commute,27,Male,38.79,132,517.74,UPI,Tuesday,15,No,0.294,13.35,26-35,Long (>90 min),January
190,28-02-2026,14:00,Hitech City EV,Scooter,Office Commute,38,Female,6.11,62,73.79,UPI,Saturday,14,No,0.099,12.08,36-50,Medium (46-90 min),February
191,01-02-2026,12:00,Ameerpet Charge Point,Car,Delivery,38,Other,20.53,113,315.04,Wallet,Sunday,12,No,0.182,15.35,36-50,Long (>90 min),February
192,16-03-2026,12:00,Hitech City EV,Car,Office Commute,35,Male,20.89,106,262.17,Card,Monday,12,No,0.197,12.55,26-35,Long (>90 min),March
193,20-03-2026,14:00,Secunderabad Central,Car,Delivery,50,Male,36.18,66,556.85,UPI,Friday,14,No,0.548,15.39,36-50,Medium (46-90 min),March
194,30-01-2026,18:00,Ameerpet Charge Point,Bike,Personal,25,Male,17.46,79,313.45,Cash,Friday,18,Yes,0.221,17.95,18-25,Medium (46-90 min),January
195,05-03-2026,17:00,LB Nagar EV Station,Scooter,Personal,44,Female,13.55,53,206.34,Cash,Thursday,17,Yes,0.256,15.23,36-50,Medium (46-90 min),March
196,27-03-2026,18:00,LB Nagar EV Station,Car,Office Commute,51,Female,39.48,106,652.88,Wallet,Friday,18,Yes,0.372,16.54,51+,Long (>90 min),March
197,11-03-2026,18:00,Kukatpally Charge Hub,Car,Delivery,27,Female,24.15,97,346.59,UPI,Wednesday,18,Yes,0.249,14.35,26-35,Long (>90 min),March
198,23-02-2026,16:00,Hitech City EV,Scooter,Office Commute,37,Male,14.77,90,222.48,Wallet,Monday,16,No,0.164,15.06,36-50,Medium (46-90 min),February
199,29-03-2026,10:00,LB Nagar EV Station,Scooter,Personal,47,Female,16.36,45,277.24,UPI,Sunday,10,No,0.364,16.95,36-50,Short (45 min),March
200,04-03-2026,09:00,LB Nagar EV Station,Scooter,Business,48,Female,9.35,64,133.16,Card,Wednesday,9,No,0.146,14.24,36-50,Medium (46-90 min),March
201,24-02-2026,16:00,Uppal EV Hub,Scooter,Personal,28,Female,10.06,47,131.15,Card,Tuesday,16,No,0.214,13.04,26-35,Medium (46-90 min),February
202,04-01-2026,14:00,LB Nagar EV Station,Scooter,Delivery,26,Female,16.03,40,246.79,Card,Sunday,14,No,0.401,15.4,26-35,Short (45 min),January
203,19-02-2026,11:00,LB Nagar EV Station,Car,Office Commute,34,Female,31.33,117,386.53,Wallet,Thursday,11,No,0.268,12.34,26-35,Long (>90 min),February
204,15-02-2026,11:00,Hitech City EV,Scooter,Ride Sharing,27,Female,11.77,77,185.86,Card,Sunday,11,No,0.153,15.79,26-35,Medium (46-90 min),February
205,08-02-2026,14:00,LB Nagar EV Station,Scooter,Office Commute,48,Female,16.86,60,203.68,Cash,Sunday,14,No,0.281,12.08,36-50,Medium (46-90 min),February
206,30-01-2026,08:00,LB Nagar EV Station,Scooter,Office Commute,33,Male,8.24,57,140.59,Card,Friday,8,No,0.145,17.06,26-35,Medium (46-90 min),January
207,13-02-2026,11:00,Ameerpet Charge Point,Car,Business,38,Male,13.53,78,190.62,Wallet,Friday,11,No,0.173,14.09,36-50,Medium (46-90 min),February
208,15-01-2026,07:00,Kukatpally Charge Hub,Bike,Office Commute,31,Female,21.3,98,288.45,Wallet,Thursday,7,No,0.217,13.54,26-35,Long (>90 min),January
209,28-03-2026,11:00,Uppal EV Hub,Bike,Business,29,Male,11.81,33,152.5,Cash,Saturday,11,No,0.358,12.91,26-35,Short (45 min),March
210,12-03-2026,16:00,Kukatpally Charge Hub,Bike,Ride Sharing,39,Male,21.63,70,288.91,Card,Thursday,16,No,0.309,13.36,36-50,Medium (46-90 min),March
211,06-03-2026,13:00,Uppal EV Hub,Scooter,Delivery,51,Female,15.62,59,257.66,Cash,Friday,13,No,0.265,16.5,51+,Medium (46-90 min),March
212,29-03-2026,17:00,Secunderabad Central,Scooter,Office Commute,49,Male,9.76,37,136.51,Card,Sunday,17,Yes,0.264,13.99,36-50,Short (45 min),March
213,27-03-2026,07:00,Hitech City EV,Scooter,Ride Sharing,44,Female,15.53,67,256.36,UPI,Friday,7,No,0.232,16.51,36-50,Medium (46-90 min),March
214,04-03-2026,14:00,Hitech City EV,Scooter,Personal,52,Male,9.53,74,161.36,Card,Wednesday,14,No,0.129,16.93,51+,Medium (46-90 min),March
215,12-02-2026,17:00,Ameerpet Charge Point,Car,Office Commute,45,Female,18.72,64,259.78,UPI,Thursday,17,Yes,0.292,13.88,36-50,Medium (46-90 min),February
216,16-02-2026,11:00,Hitech City EV,Car,Delivery,29,Male,29.17,99,413.54,Wallet,Monday,11,No,0.295,14.18,26-35,Long (>90 min),February
217,09-02-2026,14:00,Kukatpally Charge Hub,Bike,Delivery,54,Male,3.63,71,45.43,Cash,Monday,14,No,0.051,12.52,51+,Medium (46-90 min),February
218,09-01-2026,17:00,Kukatpally Charge Hub,Bike,Business,38,Female,21.38,49,384.38,Card,Friday,17,Yes,0.436,17.98,36-50,Medium (46-90 min),January
219,28-02-2026,11:00,Uppal EV Hub,Scooter,Office Commute,37,Female,13.64,30,223.47,UPI,Saturday,11,No,0.455,16.38,36-50,Short (45 min),February
220,09-01-2026,17:00,Hitech City EV,Bike,Business,19,Female,16.49,59,233.35,Card,Friday,17,Yes,0.279,14.15,18-25,Medium (46-90 min),January
221,27-03-2026,18:00,Kukatpally Charge Hub,Scooter,Office Commute,43,Male,6.3,42,80.99,UPI,Friday,18,Yes,0.15,12.86,36-50,Short (45 min),March
222,20-02-2026,13:00,LB Nagar EV Station,Car,Delivery,28,Female,33.49,61,408.11,UPI,Friday,13,No,0.549,12.19,26-35,Medium (46-90 min),February
223,16-01-2026,10:00,LB Nagar EV Station,Scooter,Ride Sharing,18,Female,3.07,45,48.72,Cash,Friday,10,No,0.068,15.87,18-25,Short (45 min),January
224,27-02-2026,14:00,Secunderabad Central,Scooter,Delivery,31,Female,7.04,42,118.59,Cash,Friday,14,No,0.168,16.85,26-35,Short (45 min),February
225,18-03-2026,19:00,Secunderabad Central,Bike,Personal,44,Male,19.61,53,262,UPI,Wednesday,19,Yes,0.37,13.36,36-50,Medium (46-90 min),March
226,13-03-2026,10:00,Secunderabad Central,Scooter,Personal,42,Male,18.24,27,324.71,Card,Friday,10,No,0.676,17.8,36-50,Short (45 min),March
227,17-02-2026,16:00,Secunderabad Central,Car,Ride Sharing,37,Other,39.26,100,602.83,Cash,Tuesday,16,No,0.393,15.35,36-50,Long (>90 min),February
228,19-01-2026,18:00,Kukatpally Charge Hub,Scooter,Office Commute,34,Male,16.37,25,242.48,UPI,Monday,18,Yes,0.655,14.81,26-35,Short (45 min),January
229,14-01-2026,15:00,LB Nagar EV Station,Scooter,Personal,21,Female,8.7,90,121.63,Card,Wednesday,15,No,0.097,13.98,18-25,Medium (46-90 min),January
230,10-02-2026,22:00,LB Nagar EV Station,Bike,Ride Sharing,47,Male,13.1,45,219.14,UPI,Tuesday,22,No,0.291,16.73,36-50,Short (45 min),February
231,21-01-2026,09:00,Uppal EV Hub,Car,Delivery,26,Female,31.77,105,539.26,Cash,Wednesday,9,No,0.303,16.97,26-35,Long (>90 min),January
232,06-03-2026,08:00,LB Nagar EV Station,Bike,Personal,32,Male,4.56,91,66.88,Cash,Friday,8,No,0.05,14.67,26-35,Long (>90 min),March
233,21-01-2026,15:00,Hitech City EV,Bike,Delivery,45,Male,16.35,53,244.04,Card,Wednesday,15,No,0.308,14.93,36-50,Medium (46-90 min),January
234,07-03-2026,12:00,LB Nagar EV Station,Bike,Office Commute,42,Male,21.69,27,338.94,Wallet,Saturday,12,No,0.803,15.63,36-50,Short (45 min),March
235,08-01-2026,12:00,Kukatpally Charge Hub,Bike,Personal,31,Male,11.56,46,153.06,UPI,Thursday,12,No,0.251,13.24,26-35,Medium (46-90 min),January
236,02-03-2026,06:00,Secunderabad Central,Scooter,Ride Sharing,50,Male,7.16,85,110.53,Card,Monday,6,No,0.084,15.44,36-50,Medium (46-90 min),March
237,23-02-2026,20:00,Uppal EV Hub,Scooter,Ride Sharing,38,Male,4.65,63,80.27,UPI,Monday,20,Yes,0.074,17.26,36-50,Medium (46-90 min),February
238,05-03-2026,16:00,LB Nagar EV Station,Car,Office Commute,36,Male,16.34,130,266.07,Cash,Thursday,16,No,0.126,16.28,36-50,Long (>90 min),March
239,02-03-2026,12:00,Ameerpet Charge Point,Car,Delivery,42,Female,43.52,40,589.47,Wallet,Monday,12,No,1.088,13.54,36-50,Short (45 min),March
240,18-02-2026,15:00,LB Nagar EV Station,Bike,Ride Sharing,53,Male,5.18,34,75.11,Cash,Wednesday,15,No,0.152,14.5,51+,Short (45 min),February
241,17-03-2026,09:00,Kukatpally Charge Hub,Scooter,Delivery,19,Female,20.89,69,313.66,Wallet,Tuesday,9,No,0.303,15.01,18-25,Medium (46-90 min),March
242,14-03-2026,15:00,Secunderabad Central,Car,Delivery,46,Male,35.89,91,461.3,UPI,Saturday,15,No,0.394,12.85,36-50,Long (>90 min),March
243,10-02-2026,13:00,Kukatpally Charge Hub,Scooter,Personal,54,Male,12.23,66,172,Wallet,Tuesday,13,No,0.185,14.06,51+,Medium (46-90 min),February
244,24-01-2026,15:00,Ameerpet Charge Point,Car,Personal,26,Male,34.85,117,511.58,Card,Saturday,15,No,0.298,14.68,26-35,Long (>90 min),January
245,01-02-2026,18:00,Secunderabad Central,Car,Personal,53,Male,42.25,90,636.7,Cash,Sunday,18,Yes,0.469,15.07,51+,Medium (46-90 min),February
246,06-02-2026,15:00,Hitech City EV,Scooter,Office Commute,27,Female,17.48,72,245.43,Wallet,Friday,15,No,0.243,14.04,26-35,Medium (46-90 min),February
247,11-01-2026,12:00,Ameerpet Charge Point,Bike,Ride Sharing,29,Male,14.51,32,188.69,Card,Sunday,12,No,0.453,13,26-35,Short (45 min),January
248,10-03-2026,11:00,Kukatpally Charge Hub,Car,Personal,44,Male,29.55,132,428.07,Wallet,Tuesday,11,No,0.224,14.49,36-50,Long (>90 min),March
249,19-02-2026,12:00,Ameerpet Charge Point,Scooter,Business,54,Female,12.27,48,212.63,Cash,Thursday,12,No,0.256,17.33,51+,Medium (46-90 min),February
250,18-01-2026,18:00,LB Nagar EV Station,Car,Personal,49,Male,21.52,91,278.11,UPI,Sunday,18,Yes,0.236,12.92,36-50,Long (>90 min),January
251,13-01-2026,14:00,Secunderabad Central,Car,Office Commute,51,Male,39.51,55,487.79,Card,Tuesday,14,No,0.718,12.35,51+,Medium (46-90 min),January
252,21-01-2026,21:00,Hitech City EV,Bike,Personal,52,Male,9.6,86,127.12,UPI,Wednesday,21,Yes,0.112,13.24,51+,Medium (46-90 min),January
253,17-01-2026,16:00,Ameerpet Charge Point,Scooter,Personal,38,Male,9.19,88,149.49,Card,Saturday,16,No,0.104,16.27,36-50,Medium (46-90 min),January
254,19-01-2026,10:00,LB Nagar EV Station,Bike,Personal,29,Male,14.38,80,220.01,UPI,Monday,10,No,0.18,15.3,26-35,Medium (46-90 min),January
255,22-03-2026,16:00,LB Nagar EV Station,Bike,Office Commute,36,Male,3.65,32,60.4,Card,Sunday,16,No,0.114,16.55,36-50,Short (45 min),March
256,24-02-2026,13:00,Secunderabad Central,Scooter,Personal,34,Female,6.86,98,99.11,Wallet,Tuesday,13,No,0.07,14.45,26-35,Long (>90 min),February
257,16-02-2026,17:00,Uppal EV Hub,Bike,Office Commute,34,Female,21.16,47,284.5,Wallet,Monday,17,Yes,0.45,13.45,26-35,Medium (46-90 min),February
258,07-02-2026,12:00,Kukatpally Charge Hub,Scooter,Business,33,Female,21.46,94,261.44,Wallet,Saturday,12,No,0.228,12.18,26-35,Long (>90 min),February
259,23-02-2026,14:00,Hitech City EV,Bike,Ride Sharing,41,Female,15.24,64,255.51,Wallet,Monday,14,No,0.238,16.77,36-50,Medium (46-90 min),February
260,19-01-2026,11:00,LB Nagar EV Station,Car,Office Commute,18,Male,14.96,101,185.76,UPI,Monday,11,No,0.148,12.42,18-25,Long (>90 min),January
261,08-01-2026,17:00,Hitech City EV,Bike,Delivery,40,Male,17.56,30,253.6,Card,Thursday,17,Yes,0.585,14.44,36-50,Short (45 min),January
262,16-03-2026,13:00,Kukatpally Charge Hub,Scooter,Delivery,36,Male,18.36,47,228.74,Wallet,Monday,13,No,0.391,12.46,36-50,Medium (46-90 min),March
263,03-02-2026,17:00,Ameerpet Charge Point,Car,Delivery,48,Male,13.66,64,229.73,Card,Tuesday,17,Yes,0.213,16.82,36-50,Medium (46-90 min),February
264,24-02-2026,19:00,Uppal EV Hub,Scooter,Personal,47,Other,12.05,70,170.5,UPI,Tuesday,19,Yes,0.172,14.15,36-50,Medium (46-90 min),February
265,25-01-2026,10:00,LB Nagar EV Station,Car,Personal,53,Female,28.6,42,460.37,Card,Sunday,10,No,0.681,16.1,51+,Short (45 min),January
266,19-02-2026,16:00,LB Nagar EV Station,Car,Personal,21,Male,38.53,116,525.11,Wallet,Thursday,16,No,0.332,13.63,18-25,Long (>90 min),February
267,31-01-2026,12:00,Secunderabad Central,Scooter,Office Commute,32,Male,14.96,39,249.83,Card,Saturday,12,No,0.384,16.7,26-35,Short (45 min),January
268,27-03-2026,16:00,Uppal EV Hub,Scooter,Office Commute,46,Female,18.95,87,242.14,UPI,Friday,16,No,0.218,12.78,36-50,Medium (46-90 min),March
269,27-01-2026,18:00,Secunderabad Central,Bike,Personal,23,Male,20.24,97,253.68,Card,Tuesday,18,Yes,0.209,12.53,18-25,Long (>90 min),January
270,28-03-2026,14:00,Ameerpet Charge Point,Scooter,Office Commute,38,Female,15.02,74,267.33,Cash,Saturday,14,No,0.203,17.8,36-50,Medium (46-90 min),March
271,11-01-2026,20:00,Kukatpally Charge Hub,Car,Personal,36,Female,21.84,40,309.2,Cash,Sunday,20,Yes,0.546,14.16,36-50,Short (45 min),January
272,28-01-2026,18:00,LB Nagar EV Station,Bike,Delivery,24,Female,5.11,56,86.5,Wallet,Wednesday,18,Yes,0.091,16.93,18-25,Medium (46-90 min),January
273,02-01-2026,11:00,LB Nagar EV Station,Bike,Office Commute,40,Male,11.97,47,153.49,Wallet,Friday,11,No,0.255,12.82,36-50,Medium (46-90 min),January
274,05-02-2026,16:00,Kukatpally Charge Hub,Scooter,Delivery,18,Female,15.25,46,216.68,UPI,Thursday,16,No,0.332,14.21,18-25,Medium (46-90 min),February
275,18-02-2026,10:00,Kukatpally Charge Hub,Bike,Delivery,30,Male,8.08,50,97.95,Cash,Wednesday,10,No,0.162,12.12,26-35,Medium (46-90 min),February
276,14-01-2026,13:00,Uppal EV Hub,Bike,Business,41,Female,10.68,90,130.85,Card,Wednesday,13,No,0.119,12.25,36-50,Medium (46-90 min),January
277,06-03-2026,12:00,Hitech City EV,Car,Business,44,Male,37.51,43,536.17,UPI,Friday,12,No,0.872,14.29,36-50,Short (45 min),March
278,03-02-2026,11:00,Uppal EV Hub,Scooter,Delivery,24,Male,9.31,52,111.79,Wallet,Tuesday,11,No,0.179,12.01,18-25,Medium (46-90 min),February
279,18-03-2026,21:00,Secunderabad Central,Car,Ride Sharing,40,Female,12.78,83,183.86,Cash,Wednesday,21,Yes,0.154,14.39,36-50,Medium (46-90 min),March
280,08-03-2026,16:00,Kukatpally Charge Hub,Car,Delivery,40,Female,31.91,96,572.48,Wallet,Sunday,16,No,0.332,17.94,36-50,Long (>90 min),March
281,05-01-2026,14:00,Hitech City EV,Bike,Delivery,34,Male,15.25,39,195.85,Card,Monday,14,No,0.391,12.84,26-35,Short (45 min),January
282,25-01-2026,17:00,Kukatpally Charge Hub,Bike,Personal,21,Male,5.79,75,78.54,UPI,Sunday,17,Yes,0.077,13.56,18-25,Medium (46-90 min),January
283,16-02-2026,19:00,Uppal EV Hub,Scooter,Delivery,43,Male,11.93,25,188.32,Wallet,Monday,19,Yes,0.477,15.79,36-50,Short (45 min),February
284,23-02-2026,13:00,Kukatpally Charge Hub,Scooter,Business,22,Female,17.46,94,289.24,Card,Monday,13,No,0.186,16.57,18-25,Long (>90 min),February
285,15-03-2026,11:00,LB Nagar EV Station,Bike,Personal,50,Male,13.66,99,207.08,Wallet,Sunday,11,No,0.138,15.16,36-50,Long (>90 min),March
286,28-01-2026,15:00,Hitech City EV,Scooter,Business,43,Male,15.09,41,222.7,Card,Wednesday,15,No,0.368,14.76,36-50,Short (45 min),January
287,19-01-2026,11:00,LB Nagar EV Station,Scooter,Office Commute,46,Female,3.25,95,57.68,UPI,Monday,11,No,0.034,17.75,36-50,Long (>90 min),January
288,21-03-2026,21:00,LB Nagar EV Station,Car,Delivery,47,Female,17.34,104,224.94,Cash,Saturday,21,Yes,0.167,12.97,36-50,Long (>90 min),March
289,27-03-2026,18:00,Hitech City EV,Bike,Office Commute,45,Male,18.87,72,251.62,Cash,Friday,18,Yes,0.262,13.33,36-50,Medium (46-90 min),March
290,07-03-2026,14:00,Secunderabad Central,Car,Office Commute,20,Female,20.38,35,354.71,Card,Saturday,14,No,0.582,17.4,18-25,Short (45 min),March
291,27-01-2026,20:00,Uppal EV Hub,Bike,Delivery,37,Female,12.74,93,225.6,Wallet,Tuesday,20,Yes,0.137,17.71,36-50,Long (>90 min),January
292,31-03-2026,13:00,Hitech City EV,Car,Personal,35,Female,20.28,60,266.71,UPI,Tuesday,13,No,0.338,13.15,26-35,Medium (46-90 min),March
293,20-01-2026,10:00,Uppal EV Hub,Bike,Office Commute,18,Male,7.2,90,98.55,UPI,Tuesday,10,No,0.08,13.69,18-25,Medium (46-90 min),January
294,09-03-2026,15:00,Secunderabad Central,Scooter,Office Commute,36,Male,14.02,57,244.29,Card,Monday,15,No,0.246,17.42,36-50,Medium (46-90 min),March
295,09-02-2026,13:00,Hitech City EV,Car,Personal,46,Male,39.16,66,609.51,Card,Monday,13,No,0.593,15.56,36-50,Medium (46-90 min),February
296,28-01-2026,15:00,Secunderabad Central,Scooter,Personal,20,Male,8.61,87,105.78,Cash,Wednesday,15,No,0.099,12.29,18-25,Medium (46-90 min),January
297,24-01-2026,13:00,Uppal EV Hub,Car,Personal,40,Female,29.02,76,443.38,UPI,Saturday,13,No,0.382,15.28,36-50,Medium (46-90 min),January
298,26-02-2026,15:00,Uppal EV Hub,Scooter,Business,24,Male,9.88,25,144.51,Cash,Thursday,15,No,0.395,14.63,18-25,Short (45 min),February
299,20-02-2026,09:00,Secunderabad Central,Scooter,Delivery,22,Female,8.89,70,154.5,UPI,Friday,9,No,0.127,17.38,18-25,Medium (46-90 min),February
300,25-01-2026,12:00,Secunderabad Central,Scooter,Business,53,Other,5.38,81,77.28,UPI,Sunday,12,No,0.066,14.36,51+,Medium (46-90 min),January
